Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks,Case Number_from_csv,Fraud Payment,Located,Transaction Date (value),Originating Amount,Originating Currency,Originator Name,Originator Account Number,Originator Bank Raw,Beneficiary Name,Beneficiary Account Number,Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Fraud Payment_from_csv
HSBC Referral,24,4,3,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,3,TRUE,2024-11-29,100000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,24,5,2,,,TRUE,TRUE,,1,,,29/11/2024,,,"70,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,2,TRUE,2024-11-29,70000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,24,6,3,,,TRUE,TRUE,,1,,,29/11/2024,,,"100,000.00",,,HKD,,,MR CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,24,3,TRUE,2024-11-29,100000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR       Chan Tai Man,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,24,7,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,25,1,1,,,TRUE,TRUE,,1,,,8/11/2024,,,"25,900.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,25,1,TRUE,2024-11-08,25900,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,25,2,1,,,TRUE,TRUE,,1,,,8/11/2024,,,"25,900.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,25,1,TRUE,2024-11-08,25900,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR        CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,25,3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,26,1,1,,,TRUE,TRUE,,1,,,24/11/2024,,,"12,778.00",,,HKD,,,MS YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,,26,1,TRUE,2024-11-24,12778,HKD,YEUNG KAI,666-66666-601,null,MR        CHAN TAI MAN,111-111111-101,null,CUTF,UNRELATED ELECTRONIC     TRANSFER CREDIT,
HSBC Referral,26,2,2,,,TRUE,TRUE,,1,,,24/11/2024,,,"49,833.00",,,HKD,,,MS TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,,,,,,,,,,,,,,,
HSBC Referral,26,3,2,,,TRUE,TRUE,,1,,,24/11/2024,,,"49,833.00",,,HKD,,,MS TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,,,,,,,,,,,,,,,
HSBC Referral,27,1,1,,,TRUE,TRUE,,1,,,3/1/2025,,,"150,600.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN,27,1,TRUE,2025-01-03,150600,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,27,2,2,,,TRUE,TRUE,,1,,,4/1/2025,,,"80,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN,27,2,TRUE,2025-01-04,80000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,27,2,3,,,TRUE,TRUE,,1,,,3/1/2025,,,"46,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN,27,3,TRUE,2025-01-03,46000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,27,3,4,,,TRUE,TRUE,,1,,,3/1/2025,,,"100,000.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHAN TAI MAN,27,4,TRUE,2025-01-03,100000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,27,4,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"40,200.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,27,5,TRUE,2025-01-03,40200,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,MR CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,27,5,6,,,TRUE,FALSE,,1,,,4/1/2025,,,"45,500.00",,,HKD,,,CHAN TAI MAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,,,,,,,,,,,,,,,
UAR,27,6,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information received a message (Internal Referral - Payment Team) from remitting bank which requested to disregard previous Intelligence 5.,,,,,,,,,,,,,,,
ADCC,28,1,1,,,TRUE,TRUE,,1,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,,,,,,,,,,,,,,,
ADCC,28,1,2,,,TRUE,TRUE,,2,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,,,,,,,,,,,,,,,,
ADCC,28,1,3,,,TRUE,TRUE,,2,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,,,,,,,,,,,,,,,,
ADCC,28,1,4,,,TRUE,TRUE,,3,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash,,,,,,,,,,,,,,,,,
ADCC,28,1,5,,,TRUE,TRUE,,4,,,30/12/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,,28,5,TRUE,2024-12-30,50000,HKD,null,null,null,MR CHONG MAN,111-111111-104,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
ADCC,28,1,6,,,TRUE,TRUE,,4,,,30/12/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,,28,6,TRUE,2024-12-30,50000,HKD,null,null,null,MR CHONG MAN,111-111111-104,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
Police Letter,28,2,1,,,TRUE,TRUE,,1,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,,,,,,,,,,,,,,,,
Police Letter,28,2,2,,,TRUE,TRUE,,2,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,,,,,,,,,,,,,,,,
Police Letter,28,2,3,,,TRUE,TRUE,,2,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,HASE,,,cash,,,,,,,,,,,,,,,,,
Police Letter,28,2,10,,,TRUE,TRUE,,3,,,30/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash,,,28,10,TRUE,2024-12-30,100000,HKD,null,null,null,MR CHIU YAN,111-111111-103,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
Police Letter,28,2,4,,,TRUE,TRUE,,3,,,31/12/2024,,,"100,000.00",,,HKD,,,null,,,null,,,null,,,CHIU,,,111-111111-103,,,HASE,,,cash,,,,,,,,,,,,,,,,,
Police Letter,28,2,12,,,TRUE,TRUE,,4,,,30/12/2024,,,"10,000.00",,,HKD,,,null,,,null,,,null,,,CHONG,,,111-111111-104,,,HASE,,,cash,,,,,,,,,,,,,,,,,
ODFT,29,1,1,,,TRUE,TRUE,,1,,,27/12/2024,,,"129,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,,29,1,TRUE,2024-12-27,129890,HKD,1/YEUNG KAI,666-66666-601,PCBCCN■■■■,MR  CHAN TAI MAN,111-111111-101,null,CWTF,WIRE-TRANSFER CREDIT,
ODFT,29,1,2,,,TRUE,TRUE,,1,,,27/12/2024,,,"158,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,,29,2,TRUE,2024-12-27,158890,HKD,1/YEUNG KAI,666-66666-601,PCBCCN■■■■,MR CHAN TAI MAN,111-111111-101,null,CWTF,WIRE-TRANSFER CREDIT,
UAR,29,2,1,,,TRUE,TRUE,,1,,,27/12/2024,,,"129,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,,29,1,TRUE,2024-12-27,129890,HKD,1/YEUNG KAI,666-66666-601,PCBCCN■■■■,MR  CHAN TAI MAN,111-111111-101,null,CWTF,WIRE-TRANSFER CREDIT,
UAR,29,3,2,,,TRUE,TRUE,,1,,,27/12/2024,,,"158,890.00",,,HKD,,,1/YEUNG KAI,,,666-66666-601,,,CHINA CONSTRUCTION BANK CORPORATION,,,CHAN,,,111-111111-101,,,HASE,,,Branch,,,29,2,TRUE,2024-12-27,158890,HKD,1/YEUNG KAI,666-66666-601,PCBCCN■■■■,MR CHAN TAI MAN,111-111111-101,null,CWTF,WIRE-TRANSFER CREDIT,
HSBC Referral,30,1,1,,,TRUE,TRUE,,1,,,3/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,30,1,TRUE,2025-01-03,300,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
HSBC Referral,30,1,2,,,TRUE,TRUE,,1,,,4/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,30,2,TRUE,2025-01-04,300,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
UAR,30,2,2,,,TRUE,TRUE,,1,,,4/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,30,2,TRUE,2025-01-04,300,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
UAR,30,3,1,,,TRUE,TRUE,,1,,,3/1/2025,,,300,,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,30,1,TRUE,2025-01-03,300,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
Search Warrant,30,4,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,30,5,3,,,TRUE,TRUE,,1,,,5/1/2025,,,"2,320.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,122222221,,,HASE,,,FPS,,,30,3,TRUE,2025-01-05,2320,HKD,MISS TSANG SIU MING,666-66666-602,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
Search Warrant,30,6,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,30,7,4,,,TRUE,TRUE,,1,,,3/1/2025,,,"32,300.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,CHAN,,,122222221,,,HASE,,,FPS,,,30,4,TRUE,2025-01-03,32300,HKD,XIE PANGAN,666-66666-603,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
UAR,30,8,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"64,348.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,,,CHAN,,,122222221,,,HASE,,,FPS,,,30,5,TRUE,2025-01-03,64348,HKD,XIE PANGAN,666-66666-603,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
UAR,30,9,3,,,TRUE,TRUE,,1,,,5/1/2025,,,"2,320.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,HSBC,,,CHAN,,,122222221,,,HASE,,,FPS,,,30,3,TRUE,2025-01-05,2320,HKD,MISS TSANG SIU MING,666-66666-602,The Hongkong and Shanghai Banking Corporation Limited,"MR      CHAN, TAIMAN",111-111111-101,Hang Seng Bank Ltd.,FPWICT,Default transaction,
Police Letter,30,10,6,,,TRUE,TRUE,,1,,,3/1/2025,,,"30,000.00",,,HKD,,,Victim,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,was deposit by cash,,,30,6,TRUE,2025-01-03,30000,HKD,null,null,null,"MR      CHAN, TAIMAN",111-111111-101,null,ATMCCD,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),
ADCC,31,1,1,,,TRUE,TRUE,,1,,,4/2/2025,,,"110,555.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,1,TRUE,2025-02-04,110555,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ADCC,31,1,2,,,TRUE,TRUE,,1,,,4/2/2025,,,"50,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,2,TRUE,2025-02-04,50000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ADCC,31,1,3,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,3,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ADCC,31,1,4,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,DBS,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,4,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,666-666666-101,DBS Bank (Hong Kong) Ltd.,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,31,2,3,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,3,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,31,3,1,,,TRUE,TRUE,,1,,,4/2/2025,,,"110,555.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,1,TRUE,2025-02-04,110555,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,31,4,2,,,TRUE,TRUE,,1,,,4/2/2025,,,"50,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,2,TRUE,2025-02-04,50000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,31,5,4,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,DBS,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,4,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,666-666666-101,DBS Bank (Hong Kong) Ltd.,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,31,6,1,,,TRUE,TRUE,,1,,,4/2/2025,,,"110,555.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,1,TRUE,2025-02-04,110555,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,31,6,2,,,TRUE,TRUE,,1,,,4/2/2025,,,"50,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,2,TRUE,2025-02-04,50000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,31,6,3,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,CCBA,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,3,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,444-4444444-101,China Construction Bank (Asia) Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,31,6,4,,,TRUE,TRUE,,1,,,5/2/2025,,,"200,000.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,DBS,,,CHAN,,,111-111111-101,,,HASE,,,null,,,31,4,TRUE,2025-02-05,200000,C,CHEUNG TAK SHING,666-666666-101,DBS Bank (Hong Kong) Ltd.,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Search Warrant,31,7,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,32,1,1,,,TRUE,FALSE,,1,,,15/8/2024,,,"5,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSB,,,CHAN,,,111-111111-101,,,HASE,,,null,,,,,,,,,,,,,,,,,
HSBC Referral,32,2,2,,,TRUE,TRUE,,1,,,7/8/2024,,,"4,000.00",,,HKD,,,CHUNG SIU,,,333-333333-102,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHUNG SIU,32,2,TRUE,2024-08-07,4000,HKD,CHUNG SIU,333-333333-102,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,32,3,2,,,TRUE,TRUE,,1,,,7/8/2024,,,"4,000.00",,,HKD,,,CHUNG SIU,,,333-333333-102,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,from 1st layer CHUNG SIU,32,2,TRUE,2024-08-07,4000,HKD,CHUNG SIU,333-333333-102,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,33,1,1,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"49,553.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,1,TRUE,2025-01-03,49553,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,33,1,2,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"78,123.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,2,TRUE,2025-01-03,78123,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
HSBC Referral,33,1,3,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"1,612.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,3,TRUE,2025-01-03,1612,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Search Warrant,33,2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,33,3,4,,,TRUE,TRUE,,1,,,3/1/2025,3/1/2025,,"18,000.00",,,HKD,,,YAN MEI MEI,,,444-4444444-102,,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,4,TRUE,2025-01-03,18000,HKD,YAN MEI MEI,444-4444444-102,STANDARD CHARTERED BANK (HONG KONG) LIMITED,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,33,4,5,,,TRUE,TRUE,,1,,,3/1/2025,,,"20,000.00",,,HKD,,,TAN FUNG,,,444-4444444-103,,,BOC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,5,TRUE,2025-01-03,20000,HKD,TAN FUNG,444-4444444-103,Bank of China (Hong Kong) Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
Police Letter,33,5,1,,,TRUE,TRUE,,1,,,3/1/2024,3/1/2025,,"49,553.00",,,HKD,,,CHEUNG TAK SHING,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,1,TRUE,2025-01-03,49553,HKD,CHEUNG TAK SHING,444-4444444-101,null,CHAN TAI MAN,111-111111-101,null,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,
Police Letter,33,6,6,,,TRUE,TRUE,,1,,,2/1/2025,,,"4,000.00",,,HKD,,,PANG YA SHI,,,444-4444444-104,,,BOC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,33,6,TRUE,2025-01-02,4000,HKD,PANG YA SHI,444-4444444-104,Bank of China (Hong Kong) Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,34,1,1,,,TRUE,TRUE,,1,,,5/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account,34,1,TRUE,2025-01-05,200000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,34,1,2,,,TRUE,TRUE,,1,,,5/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account,34,2,TRUE,2025-01-05,200000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,34,1,3,,,TRUE,TRUE,,1,,,5/1/2025,,,"12,300.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account,34,3,TRUE,2025-01-05,12300,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,34,2,1,,,TRUE,TRUE,,1,,,5/1/2025,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account,34,1,TRUE,2025-01-05,200000,HKD,CHAN TAI MAN,333-333333-101,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
